district_id,district_code,state_id,district_name_en,district_short_name_en,district_name_local,lgd_code,language_id
31311,3120,29,AGRA,AG,AGRA,118,en
31039,3139,29,JHANSI,JH,JHANSI,153,en
31346,3168,29,KANNAUJ,KU,KANNAUJ,155,en
31347,3136,29,KANPUR DEHAT,KD,KANPUR DEHAT,156,en
31348,3137,29,KANPUR NAGAR,KN,KANPUR NAGAR,157,en
31349,3180,29,KASGANJ,KA,KASGANJ,633,en
31350,3170,29,KAUSHAMBI,KB,KAUSHAMBI,158,en
31351,3128,29,KHERI,KH,KHERI,159,en
31352,3172,29,KUSHI NAGAR,KS,KUSHI NAGAR,160,en
31353,3140,29,LALITPUR,LA,LALITPUR,161,en
31354,3132,29,LUCKNOW,LU,LUCKNOW,162,en
31355,3152,29,MAHARAJGANJ,MG,MAHARAJGANJ,164,en
31356,3179,29,MAHOBA,MB,MAHOBA,165,en
31357,3123,29,MAINPURI,MN,MAINPURI,166,en
31358,3119,29,MATHURA,MT,MATHURA,167,en
31359,3156,29,MAU,MA,MAU,168,en
31360,3115,29,MEERUT,ME,MEERUT,169,en
31362,3110,29,MORADABAD,MD,MORADABAD,171,en
31363,3114,29,MUZAFFARNAGAR,MU,MUZAFFARNAGAR,172,en
31364,3126,29,PILIBHIT,PI,PILIBHIT,173,en
31365,3144,29,PRATAPGARH,PR,PRATAPGARH,174,en
31367,3133,29,RAE BARELI,RA,RAE BARELI,175,en
31373,3127,29,SHAHJAHANPUR,SJ,SHAHJAHANPUR,180,en
31375,3176,29,SHRAVASTI,SH,SHRAVASTI,181,en
31376,3151,29,SIDDHARTH NAGAR,SN,SIDDHARTH NAGAR,182,en
31377,3129,29,SITAPUR,SI,SITAPUR,183,en
31378,3163,29,SONBHADRA,SD,SONBHADRA,184,en
31381,3161,29,VARANASI,VS,VARANASI,187,en
31379,3150,29,SULTANPUR,SU,SULTANPUR,185,en
31366,3145,29,PRAYAGRAJ,AD,PRAYAGRAJ,120,en
31313,3178,29,AMBEDKAR NAGAR,AM,AMBEDKAR NAGAR,121,en
31316,3169,29,AURAIYA,AU,AURAIYA,122,en
31318,3157,29,AZAMGARH,AZ,AZAMGARH,123,en
31317,3149,29,AYODHYA,FZ,AYODHYA,140,en
31361,3162,29,MIRZAPUR,MP,MIRZAPUR,170,en
31312,3118,29,ALIGARH,AL,ALIGARH,119,en
31315,3167,29,AMROHA,JN,AMROHA,154,en
31319,3165,29,BAGHPAT,BP,BAGHPAT,124,en
31320,3146,29,BAHRAICH,BC,BAHRAICH,125,en
31321,3159,29,BALLIA,BI,BALLIA,126,en
31012,3175,29,BALRAMPUR,BM,BALRAMPUR,127,en
31322,3142,29,BANDA,BA,BANDA,128,en
31323,3148,29,BARABANKI,BB,BARABANKI,129,en
31324,3125,29,BAREILLY,BR,BAREILLY,130,en
31325,3153,29,BASTI,BT,BASTI,131,en
31372,3173,29,SANT RAVIDAS NAGAR,SR,SANT RAVIDAS NAGAR,179,en
31017,3109,29,BIJNOR,BJ,BIJNOR,132,en
31018,3124,29,BUDAUN,BD,BUDAUN,133,en
31326,3117,29,BULANDSHAHR,BU,BULANDSHAHR,134,en
31327,3171,29,CHANDAULI,CH,CHANDAULI,135,en
31328,3177,29,CHITRAKOOT,CK,CHITRAKOOT,136,en
31329,3155,29,DEORIA,DE,DEORIA,137,en
31330,3122,29,ETAH,EH,ETAH,138,en
31331,3135,29,ETAWAH,ET,ETAWAH,139,en
31332,3134,29,FARRUKHABAD,FD,FARRUKHABAD,141,en
31333,3143,29,FATEHPUR,FA,FATEHPUR,142,en
31334,3121,29,FIROZABAD,FI,FIROZABAD,143,en
31335,3164,29,GAUTAM BUDDHA NAGAR,GB,GAUTAM BUDDHA NAGAR,144,en
31336,3116,29,GHAZIABAD,GH,GHAZIABAD,145,en
31337,3160,29,GHAZIPUR,GP,GHAZIPUR,146,en
31338,3147,29,GONDA,GO,GONDA,147,en
31339,3154,29,GORAKHPUR,GK,GORAKHPUR,148,en
31340,3141,29,HAMIRPUR,HA,HAMIRPUR,149,en
31342,3130,29,HARDOI,HD,HARDOI,150,en
31343,3166,29,HATHRAS,MH,HATHRAS,163,en
31344,3138,29,JALAUN,JA,JALAUN,151,en
31345,3158,29,JAUNPUR,JP,JAUNPUR,152,en
31380,3131,29,UNNAO,UN,UNNAO,186,en
31368,3111,29,RAMPUR,RP,RAMPUR,176,en
31369,3112,29,SAHARANPUR,SP,SAHARANPUR,177,en
31371,3174,29,SANT KABEER NAGAR,SK,SANT KABEER NAGAR,178,en
31341,3182,29,HAPUR,HP,HAPUR,661,en
31370,3183,29,SAMBHAL,SA,SAMBHAL,659,en
31374,3184,29,SHAMLI,SM,SHAMLI,660,en
31314,3181,29,AMETHI,CS,AMETHI,640,en
