district_id,district_name_en,block_code,block_id,block_name_en,block_name_local,language_id,lgd_code,rural_urban_area,state_id
31311,AGRA,3120007,313106,ETMADPUR,ETMADPUR,en,808,R,29
31311,AGRA,3120001,313108,FATEHPUR SIKRI,FATEHPUR SIKRI,en,810,R,29
31311,AGRA,3120006,313111,KHANDAULI,KHANDAULI,en,813,R,29
31311,AGRA,3120008,313109,JAGNER,JAGNER,en,811,R,29
31311,AGRA,3120013,313113,PINAHAT,PINAHAT,en,815,R,29
31311,AGRA,3120015,313110,JAITPUR KALAN,JAITPUR KALAN,en,812,R,29
31311,AGRA,3120009,313112,KHERAGARH,KHERAGARH,en,814,R,29
31311,AGRA,3120012,313107,FATEHABAD,FATEHABAD,en,809,R,29
31311,AGRA,3120014,313103,BAH,BAH,en,805,R,29
31311,AGRA,3120005,313104,BARAULI AHIR,BARAULI AHIR,en,806,R,29
31311,AGRA,3120011,313115,SHAMSABAD,SHAMSABAD,en,817,R,29
31311,AGRA,3120010,313114,SAIYAN,SAIYAN,en,816,R,29
31311,AGRA,3120004,313105,BICHPURI,BICHPURI,en,807,R,29
31311,AGRA,3120002,313101,ACHHNERA,ACHHNERA,en,803,R,29
31311,AGRA,3120003,313102,AKOLA,AKOLA,en,804,R,29
31039,JHANSI,3139002,310442,CHIRGAON,CHIRGAON,en,1248,R,29
31039,JHANSI,3139005,310441,BANGRA,BANGRA,en,1247,R,29
31039,JHANSI,3139007,310438,BABINA,BABINA,en,1244,R,29
31039,JHANSI,3139008,310439,BADAGAON,BADAGAON,en,1245,R,29
31039,JHANSI,3139003,310440,BAMAUR,BAMAUR,en,1246,R,29
31039,JHANSI,3139004,310443,GURSARAI,GURSARAI,en,1249,R,29
31039,JHANSI,3139001,310445,MOTH,MOTH,en,1251,R,29
31039,JHANSI,3139006,310444,MAURANIPUR,MAURANIPUR,en,1250,R,29
31346,KANNAUJ,3168001,313506,JALALABAD,JALALABAD,en,1261,R,29
31346,KANNAUJ,3168002,313510,UMARDA,UMARDA,en,1265,R,29
31346,KANNAUJ,3168003,313508,SAURIKH,SAURIKH,en,1263,R,29
31346,KANNAUJ,3168006,313509,TALGRAM,TALGRAM,en,1264,R,29
31346,KANNAUJ,3168007,313505,HASERAN,HASERAN,en,1260,R,29
31346,KANNAUJ,3168004,313507,KANNAUJ,KANNAUJ,en,1262,R,29
31346,KANNAUJ,3168005,313503,CHHIBRAMAU,CHHIBRAMAU,en,1258,R,29
31346,KANNAUJ,3168008,313504,GUGURAPUR,GUGURAPUR,en,1259,R,29
31347,KANPUR DEHAT,3136011,313520,SARBANKHERA,SARBANKHERA,en,1275,R,29
31347,KANPUR DEHAT,3136012,313517,RAJPUR,RAJPUR,en,1272,R,29
31347,KANPUR DEHAT,3136013,313516,MALASA,MALASA,en,1271,R,29
31347,KANPUR DEHAT,3136014,313512,AMRODHA,AMRODHA,en,1267,R,29
31347,KANPUR DEHAT,3136006,313514,JHINJHAK,JHINJHAK,en,1269,R,29
31347,KANPUR DEHAT,3136007,313515,MAITHA,MAITHA,en,1270,R,29
31347,KANPUR DEHAT,3136008,313519,SANDALPUR,SANDALPUR,en,1274,R,29
31347,KANPUR DEHAT,3136005,313518,RASULABAD,RASULABAD,en,1273,R,29
