panchayat_id,state_id,district_id,block_id,panchayat_code,panchayat_name_en,panchayat_name_local,rural_urban_area,language_id,lgd_code
3134687,29,31311,313106,3120007028,ETMADPUR,ETMADPUR,R,en,
3134711,29,31311,313106,3120007076,SATAOLI NAGLA MADADEV,SATAOLI NAGLA MADADEV,R,en,
3134680,29,31311,313106,3120007011,BANAI KALAN,BANAI KALAN,R,en,42936
3134717,29,31311,313106,3120007090,VIRUNI,VIRUNI,R,en,42938
3134690,29,31311,313106,3120007035,JAMAL NAGAR BHAIS,JAMAL NAGAR BHAIS,R,en,241769
3134677,29,31311,313106,3120007004,AMANABAD,AMANABAD,R,en,42932
3134678,29,31311,313106,3120007006,ARELA,ARELA,R,en,42933
3134681,29,31311,313106,3120007013,BARHAN,BARHAN,R,en,42935
3134682,29,31311,313106,3120007014,BHEEKANPUR,BHEEKANPUR,R,en,42937
3134684,29,31311,313106,3120007020,CHIRHAULI,CHIRHAULI,R,en,42940
3134686,29,31311,313106,3120007026,DHARAIRA,DHARAIRA,R,en,42942
3134695,29,31311,313106,3120007051,MUKHAVAR,MUKHAVAR,R,en,42949
3134696,29,31311,313106,3120007054,MURTHAR ALIPUR,MURTHAR ALIPUR,R,en,42950
3134699,29,31311,313106,3120007058,NAGLA MANI,NAGLA MANI,R,en,42953
3134700,29,31311,313106,3120007059,NAGLA PACHORI,NAGLA PACHORI,R,en,42954
3134702,29,31311,313106,3120007061,NAGLA SWAROOP,NAGLA SWAROOP,R,en,42955
3134703,29,31311,313106,3120007062,NAGLA TULSI,NAGLA TULSI,R,en,42957
3134705,29,31311,313106,3120007063,NAVAL PUR,NAVAL PUR,R,en,42959
3134709,29,31311,313106,3120007073,SAIFUDDIN PUR,SAIFUDDIN PUR,R,en,42960
3134715,29,31311,313106,3120007084,TAMACH GARH,TAMACH GARH,R,en,42966
3134716,29,31311,313106,3120007085,TEHU,TEHU,R,en,42967
3134718,29,31311,313106,3120007091,YUSUF PUR,YUSUF PUR,R,en,42968
3134691,29,31311,313106,3120007042,KHEDI ADDU,KHEDI ADDU,R,en,42945
3134689,29,31311,313106,3120007034,JAAM PUR,JAAM PUR,R,en,42944
3134707,29,31311,313106,3120007067,RASUL PUR,RASUL PUR,R,en,240449
3134701,29,31311,313106,3120007060,NAGLA SIRJI,NAGLA SIRJI,R,en,272971
3134675,29,31311,313106,3120007001,AGAWAR,AGAWAR,R,en,42930
3134676,29,31311,313106,3120007003,AHARAN,AHARAN,R,en,42931
3134679,29,31311,313106,3120007007,BAHRAMPUR,BAHRAMPUR,R,en,42934
3134683,29,31311,313106,3120007018,CHAVALI,CHAVALI,R,en,42939
3134685,29,31311,313106,3120007023,CHUHAR PUR,CHUHAR PUR,R,en,42941
3134688,29,31311,313106,3120007030,GADI  BACCHI,GADI  BACCHI,R,en,42943
3134692,29,31311,313106,3120007045,KURGAVA,KURGAVA,R,en,42946
3134693,29,31311,313106,3120007047,LAKHANAMAI,LAKHANAMAI,R,en,42947
3134694,29,31311,313106,3120007049,MITAWALI,MITAWALI,R,en,42948
3134706,29,31311,313106,3120007065,NAYA BAS,NAYA BAS,R,en,42958
3134710,29,31311,313106,3120007070,SARAY JAIRAM,SARAY JAIRAM,R,en,42961
3134712,29,31311,313106,3120007075,SIKTARA,SIKTARA,R,en,42963
3134713,29,31311,313106,3120007078,SUJANPUR,SUJANPUR,R,en,42964
3134714,29,31311,313106,3120007079,SUREHARA,SUREHARA,R,en,42965
3134704,29,31311,313106,3120007064,NAGLA VEL,NAGLA VEL,R,en,42952
3134708,29,31311,313106,3120007069,SABAI,SABAI,R,en,42962
3134698,29,31311,313106,3120007093,NAGLA GOL,NAGLA GOL,R,en,267964
3134697,29,31311,313106,3120007056,NAGLA BARI,NAGLA BARI,R,en,42951
3134809,29,31311,313108,3120001034,FATEPURSIKRI,FATEPURSIKRI,R,en,
3134806,29,31311,313108,3120001028,DOLTABAD,DOLTABAD,R,en,43041
3134797,29,31311,313108,3120001011,BHADKOL,BHADKOL,R,en,43035
3134802,29,31311,313108,3120001020,DAUDPUR,DAUDPUR,R,en,43040
3134805,29,31311,313108,3120001025,DITHAVAR,DITHAVAR,R,en,43044
3134808,29,31311,313108,3120001032,DURA,DURA,R,en,43045
3134812,29,31311,313108,3120001038,JAHANPUR,JAHANPUR,R,en,43049
3134815,29,31311,313108,3120001042,JOTANA,JOTANA,R,en,43052
3134817,29,31311,313108,3120001046,KHERA JAT,KHERA JAT,R,en,43054
3134818,29,31311,313108,3120001048,KORAI,KORAI,R,en,43055
3134825,29,31311,313108,3120001064,NAGLA MANGOLI,NAGLA MANGOLI,R,en,43062
3134828,29,31311,313108,3120001069,NINVAYA,NINVAYA,R,en,43064
3134831,29,31311,313108,3120001073,PATSAL,PATSAL,R,en,43066
3134835,29,31311,313108,3120001078,SAMARA,SAMARA,R,en,43070
3134836,29,31311,313108,3120001080,SANTHA,SANTHA,R,en,43071
3134837,29,31311,313108,3120001082,SARSA,SARSA,R,en,43072
3134839,29,31311,313108,3120001089,SIKRODA,SIKRODA,R,en,43073
3134838,29,31311,313108,3120001088,SIKRICHAR HISSA,SIKRICHAR HISSA,R,en,43074
3134841,29,31311,313108,3120001091,SIROLI,SIROLI,R,en,43076
3134842,29,31311,313108,3120001092,SONOTHI,SONOTHI,R,en,43077
3134845,29,31311,313108,3120001096,TEHRA RAWAT,TEHRA RAWAT,R,en,43080
3134823,29,31311,313108,3120001055,MANDI GUD,MANDI GUD,R,en,43048
3134843,29,31311,313108,3120001103,SUROTHI,SUROTHI,R,en,265505
3134795,29,31311,313108,3120001101,BADROLI,BADROLI,R,en,265502
3134829,29,31311,313108,3120001102,NOORPUR,NOORPUR,R,en,268088
3134824,29,31311,313108,3120001057,MANDI MIRJA KHAN,MANDI MIRJA KHAN,R,en,43059
3134792,29,31311,313108,3120001002,ARHERA,ARHERA,R,en,43030
3134793,29,31311,313108,3120001003,AULANDA,AULANDA,R,en,43031
3134794,29,31311,313108,3120001005,BADANPUR BARNAMAI,BADANPUR BARNAMAI,R,en,43032
3134796,29,31311,313108,3120001007,BASARI KAJI,BASARI KAJI,R,en,43034
3134798,29,31311,313108,3120001013,BHOPUR,BHOPUR,R,en,43036
3134799,29,31311,313108,3120001014,CHOMA SHAHPUR,CHOMA SHAHPUR,R,en,43037
3134800,29,31311,313108,3120001015,CHURIYARI,CHURIYARI,R,en,43038
3134801,29,31311,313108,3120001018,DABAR,DABAR,R,en,43039
3134804,29,31311,313108,3120001023,DEVNARI,DEVNARI,R,en,43042
3134807,29,31311,313108,3120001031,DULHARA,DULHARA,R,en,43046
3134810,29,31311,313108,3120001037,GOTHRA,GOTHRA,R,en,43047
3134814,29,31311,313108,3120001040,JAJOLI,JAJOLI,R,en,43050
3134813,29,31311,313108,3120001039,JAJAU,JAJAU,R,en,43051
3134816,29,31311,313108,3120001043,KARAHI,KARAHI,R,en,43053
3134820,29,31311,313108,3120001051,MAHDAU,MAHDAU,R,en,43056
3134821,29,31311,313108,3120001052,MAI BUJURG,MAI BUJURG,R,en,43057
3134822,29,31311,313108,3120001054,MALIKPUR,MALIKPUR,R,en,43058
3134819,29,31311,313108,3120001049,MADOLI,MADOLI,R,en,43060
3134827,29,31311,313108,3120001067,NAGLA VAHARAWATI,NAGLA VAHARAWATI,R,en,43061
3134826,29,31311,313108,3120001066,NAGLA SARAY,NAGLA SARAY,R,en,43063
3134830,29,31311,313108,3120001072,PALI KIRAULI,PALI KIRAULI,R,en,43065
3134832,29,31311,313108,3120001075,RASULPUR,RASULPUR,R,en,43067
3134833,29,31311,313108,3120001076,ROJHOLI,ROJHOLI,R,en,43068
3134834,29,31311,313108,3120001077,SAHANPUR,SAHANPUR,R,en,43069
3134840,29,31311,313108,3120001090,SINGARPUR,SINGARPUR,R,en,43075
3134846,29,31311,313108,3120001097,TIKRI,TIKRI,R,en,43079
3134847,29,31311,313108,3120001098,UNDERA,UNDERA,R,en,43081
3134844,29,31311,313108,3120001093,TAJ NAGARIYA,TAJ NAGARIYA,R,en,43078
